id	location	agave species	date	sampling temperature	fermentation time	
PSIT	El Lobo	A. mapisaga	august 1 2023	22.1	overnight	
PSIIIT	Boye	A. salmiana	july 18 2023	24.6	overnight	
PSIVT	Boye	A. salmiana	july 25 2023	24.9	overnight	
PSVIIT	Charco Frio	A. mapisaga	august 22 2023	19.6	1 month	
