id	location	agave species	date	sampling temperature
AIT	El Lobo	A. mapisaga	august 1 2023	23
AIIIT	Boye	A. salmiana	july 18 2023	25.5
AIVT	Boye	A. salmiana	july 25 2023	25
AVIIT	Charco Frio	A. mapisaga	august 22 2023	19.8
